,mape,rmse,mse
2,2.9253266217530034,1321.476626745745,1746300.4750353133
5,3.0161047573585686,1308.2464098834707,1711508.66897299
10,3.025762148102252,1294.2043978213344,1674965.0233400825
15,2.986118274504113,1296.1916033494772,1680112.6725936884
20,2.960110480332311,1293.3078945764985,1672645.3101738954
25,2.985280653501266,1294.240807605895,1675059.2680723595
35,3.046603422079866,1304.2035986865692,1700947.0268269978
50,2.999072542819446,1295.6782988496507,1678782.2541099247
75,2.9965379920914823,1288.751829879957,1660881.279018938
100,3.00689729326111,1290.5014081994952,1665393.88456488
150,3.2712909230342944,1393.9417212523329,1943073.5222479163
200,3.272544138395862,1417.050728651844,2008032.7675727226
